Topic,Sentiment,TwitterID
"apple","irrelevant","126232767821381632"
"apple","irrelevant","126054568273518592"
"apple","irrelevant","125825293473685505"
"apple","irrelevant","125957742698561537"
"apple","irrelevant","126264035007143936"
"apple","irrelevant","126403953058529280"
"apple","irrelevant","125409044222586880"
"apple","irrelevant","126381904621600768"
"apple","irrelevant","126355573586399232"
"apple","irrelevant","126263600548556800"
"apple","irrelevant","125967315488608257"
"apple","irrelevant","125948329694724097"
"apple","negative","126238223537152001"
"apple","negative","126240605419487232"
"apple","negative","126053722966069248"
"apple","negative","126357227727626240"
"apple","negative","125399780527570944"
"apple","negative","125269161327865856"
"apple","negative","125311989751877632"
"apple","negative","126372694118768640"
"apple","negative","126034507475337216"
"apple","negative","126344426854416385"
"apple","negative","126377298650861568"
"apple","negative","126188686453907457"
"apple","negative","125405260650000384"
"apple","negative","125999655011098624"
"apple","negative","126382051661328385"
"apple","negative","125598450090917888"
"apple","negative","125956403574747137"
"apple","negative","125876542600519681"
"apple","negative","126031969166434304"
"apple","negative","125475953509015552"
"apple","negative","126094194312876032"
"apple","negative","125601235985367041"
"apple","negative","126279811151831042"
"apple","negative","126141077131497472"
"apple","negative","125706246056706049"
"apple","negative","125980659415138304"
"apple","negative","125129328446017536"
"apple","negative","125269239207706624"
"apple","neutral","125647236418912256"
"apple","neutral","125360952878182400"
"apple","neutral","125250721280040961"
"apple","neutral","126007705600135168"
"apple","neutral","126118389591711744"
"apple","neutral","126415742177513472"
"apple","neutral","126326886354784256"
"apple","neutral","125416866243018753"
"apple","neutral","125979228452818944"
"apple","neutral","125631556051140608"
"apple","neutral","126072051118260225"
"apple","neutral","126125830094061568"
"apple","neutral","125244798671142912"
"apple","neutral","125359697770450944"
"apple","neutral","125315263183851521"
"apple","neutral","126330974270271488"
"apple","neutral","125918447979872258"
"apple","neutral","125325397712846848"
"apple","neutral","126061182720278528"
"apple","neutral","126016494701256704"
"apple","neutral","125366519680086016"
"apple","neutral","125792596114161665"
"apple","neutral","125811943054393344"
"apple","neutral","125620113582993408"
"apple","neutral","126209902241787904"
"apple","neutral","125922989844856833"
"apple","neutral","125983179877253120"
"apple","neutral","126375024595705856"
"apple","neutral","125457535951060993"
"apple","neutral","125803457155301376"
"apple","neutral","125859488728236032"
"apple","neutral","126000843798491136"
"apple","neutral","126094392183357443"
"apple","neutral","126218596786511873"
"apple","neutral","125460019859820544"
"apple","neutral","125990236743405568"
"apple","neutral","125938325151432706"
"apple","neutral","126351669029126144"
"apple","neutral","126277810431074304"
"apple","neutral","126324256236765185"
"apple","neutral","125981074114359297"
"apple","neutral","126232037492404224"
"apple","neutral","126141580682854400"
"apple","neutral","126405911697817600"
"apple","neutral","126309939961536513"
"apple","neutral","125591434056318977"
"apple","positive","125459338524499969"
"apple","positive","125662399217930240"
"apple","positive","125645258003464192"
"apple","positive","126059405941809152"
"apple","positive","125524107386302465"
"apple","positive","125585606100267008"
"apple","positive","126180209501286400"
"apple","positive","125978568726560768"
"apple","positive","125416879035658240"
"apple","positive","126284506360578049"
"apple","positive","125652668080336896"
"apple","positive","125561950376701952"
"apple","positive","126360398885687296"
"google","irrelevant","126522783650955264"
"google","irrelevant","126504863369670657"
"google","irrelevant","126527955475251202"
"google","irrelevant","126533775411781632"
"google","irrelevant","126500195570683905"
"google","irrelevant","126493116554424320"
"google","irrelevant","126509203148902400"
"google","irrelevant","126487143555153920"
"google","irrelevant","126508947980029952"
"google","irrelevant","126492053248020481"
"google","irrelevant","126528993187999744"
"google","irrelevant","126492366776446976"
"google","irrelevant","126503460836343810"
"google","irrelevant","126487974975242240"
"google","irrelevant","126492010864574464"
"google","irrelevant","126528444476555264"
"google","irrelevant","126490448436015104"
"google","irrelevant","126484568239906817"
"google","irrelevant","126492543146926080"
"google","irrelevant","126489326786850816"
"google","irrelevant","126531280253882368"
"google","irrelevant","126510558764736513"
"google","irrelevant","126506683131379713"
"google","irrelevant","126533966156148736"
"google","irrelevant","126534648800096256"
"google","irrelevant","126504580145094656"
"google","irrelevant","126491290627080194"
"google","irrelevant","126492972735922177"
"google","irrelevant","126515608887115776"
"google","irrelevant","126495097180262400"
"google","irrelevant","126523548914290688"
"google","irrelevant","126496681717014528"
"google","irrelevant","126529267503861760"
"google","irrelevant","126492905476067328"
"google","irrelevant","126488387531194369"
"google","irrelevant","126531281650589696"
"google","irrelevant","126510399884496897"
"google","irrelevant","126531989846241280"
"google","irrelevant","126489830677942272"
"google","irrelevant","126489915042168833"
"google","irrelevant","126489254535774208"
"google","irrelevant","126489540906070018"
"google","irrelevant","126508667007803392"
"google","irrelevant","126515159995912193"
"google","negative","126501869920075776"
"google","negative","126517970179600385"
"google","negative","126486838549557248"
"google","negative","126494303173361664"
"google","neutral","126520074717765632"
"google","neutral","126506273662447616"
"google","neutral","126508044187217920"
"google","neutral","126498481534808064"
"google","neutral","126497969972330497"
"google","neutral","126529492582797313"
"google","neutral","126497822009860096"
"google","neutral","126522997522702336"
"google","neutral","126491658341715969"
"google","neutral","126501882331017216"
"google","neutral","126502770130960384"
"google","neutral","126522225674301440"
"google","neutral","126528248329940992"
"google","neutral","126504377862205441"
"google","neutral","126507911844339712"
"google","neutral","126484018211454976"
"google","neutral","126533944832311298"
"google","neutral","126492775842713600"
"google","neutral","126502630578069504"
"google","neutral","126524229997953024"
"google","neutral","126531628087513088"
"google","neutral","126490265463701504"
"google","neutral","126488727315943425"
"google","neutral","126524003266473984"
"google","neutral","126496068467822593"
"google","neutral","126503693355982849"
"google","neutral","126532820507176960"
"google","neutral","126503090487705601"
"google","neutral","126500259974234112"
"google","neutral","126490278143082496"
"google","neutral","126531522487533568"
"google","neutral","126515992737218560"
"google","neutral","126533730671149056"
"google","neutral","126487465203736576"
"google","neutral","126492839998783488"
"google","neutral","126487846038147073"
"google","neutral","126503993768804352"
"google","neutral","126505412068511745"
"google","neutral","126500867280093184"
"google","neutral","126528307004051458"
"google","neutral","126520920352358401"
"google","neutral","126530766829129728"
"google","neutral","126493225811841024"
"google","neutral","126491459078729728"
"google","neutral","126520611190218752"
"google","neutral","126494729474015232"
"google","neutral","126535043588964352"
"google","neutral","126499963176886272"
"google","neutral","126489665116192768"
"google","neutral","126527262190346240"
"google","neutral","126491610199490560"
"google","neutral","126504842469457922"
"google","neutral","126517510915899392"
"google","neutral","126509619819462657"
"google","positive","126499143282737152"
"google","positive","126512208451600384"
"google","positive","126492983968268289"
"google","positive","126492838870515713"
"google","positive","126503029548654593"
"google","positive","126524301259194368"
"google","positive","126515760855134208"
"google","positive","126492009748889600"
"google","positive","126500614552289282"
"google","positive","126492628152889344"
"google","positive","126508393203642368"
"google","positive","126503790412181504"
"google","positive","126490137944268800"
"google","positive","126533349727666176"
"google","positive","126492981460082688"
"google","positive","126523525598162944"
"google","positive","126533885109600256"
"google","positive","126492101549621249"
"microsoft","irrelevant","126622165595459584"
"microsoft","irrelevant","126742038048804866"
"microsoft","irrelevant","126628570536742912"
"microsoft","irrelevant","126765300904505344"
"microsoft","irrelevant","126721828432519170"
"microsoft","irrelevant","126564330933194752"
"microsoft","irrelevant","126647771821383682"
"microsoft","irrelevant","126732424460767233"
"microsoft","irrelevant","126578736148652032"
"microsoft","irrelevant","126752126880858112"
"microsoft","irrelevant","126701401425444864"
"microsoft","irrelevant","126645036426334208"
"microsoft","irrelevant","126668278386012160"
"microsoft","irrelevant","126546908142501888"
"microsoft","irrelevant","126641501978632192"
"microsoft","irrelevant","126757586174345216"
"microsoft","irrelevant","126599445168144384"
"microsoft","irrelevant","126761080541290496"
"microsoft","irrelevant","126704316005351424"
"microsoft","irrelevant","126523554568224771"
"microsoft","irrelevant","126583374096764928"
"microsoft","irrelevant","126585997814280192"
"microsoft","irrelevant","126650108640100352"
"microsoft","irrelevant","126699572490813441"
"microsoft","irrelevant","126708721328992257"
"microsoft","irrelevant","126656462566080513"
"microsoft","irrelevant","126621883411070976"
"microsoft","irrelevant","126621298272112643"
"microsoft","irrelevant","126677668933533696"
"microsoft","irrelevant","126774645474070528"
"microsoft","irrelevant","126762153012236288"
"microsoft","irrelevant","126702673830481920"
"microsoft","irrelevant","126649528924389378"
"microsoft","irrelevant","126769625659748353"
"microsoft","irrelevant","126792436176531456"
"microsoft","irrelevant","126547233473691649"
"microsoft","irrelevant","126769627484274688"
"microsoft","irrelevant","126689077700476929"
"microsoft","irrelevant","126686455752962048"
"microsoft","irrelevant","126694584322490368"
"microsoft","irrelevant","126581464052678656"
"microsoft","irrelevant","126792156852666369"
"microsoft","irrelevant","126614513784074240"
"microsoft","irrelevant","126661775922966528"
"microsoft","negative","126714471543619584"
"microsoft","negative","126712110095925250"
"microsoft","negative","126754989409452032"
"microsoft","negative","126595347198902272"
"microsoft","negative","126565636703924225"
"microsoft","negative","126543225501650944"
"microsoft","negative","126744129135845377"
"microsoft","negative","126666110237032448"
"microsoft","negative","126748091083788288"
"microsoft","negative","126662601139695616"
"microsoft","negative","126570732430966785"
"microsoft","neutral","126664658651332608"
"microsoft","neutral","126642137424076800"
"microsoft","neutral","126745293378166784"
"microsoft","neutral","126696856959983616"
"microsoft","neutral","126500912578564097"
"microsoft","neutral","126634784326828032"
"microsoft","neutral","126696627955171328"
"microsoft","neutral","126651497718095873"
"microsoft","neutral","126611372552355841"
"microsoft","neutral","126735624299487232"
"microsoft","neutral","126635053139763200"
"microsoft","neutral","126604903408869378"
"microsoft","neutral","126717789829472256"
"microsoft","neutral","126642532863049728"
"microsoft","neutral","126637411114553344"
"microsoft","neutral","126725691059351552"
"microsoft","neutral","126642611598540801"
"microsoft","neutral","126573186774089728"
"microsoft","neutral","126619293977812992"
"microsoft","neutral","126593450253623297"
"microsoft","neutral","126528296354725890"
"microsoft","neutral","126797209244151808"
"microsoft","neutral","126683225123852288"
"microsoft","neutral","126656236157538304"
"microsoft","neutral","126566417276469248"
"microsoft","neutral","126690823306870784"
"microsoft","neutral","126804966491955201"
"microsoft","neutral","126635573921316864"
"microsoft","neutral","126616636621996032"
"microsoft","neutral","126789918826565632"
"microsoft","neutral","126572384126894080"
"microsoft","neutral","126698704290852865"
"microsoft","neutral","126731759646810113"
"microsoft","neutral","126792112313352192"
"microsoft","neutral","126804937438003200"
"microsoft","neutral","126695264487604224"
"microsoft","neutral","126582173787619328"
"microsoft","neutral","126599087389806592"
"microsoft","neutral","126803594216341506"
"microsoft","neutral","126781699811061760"
"microsoft","neutral","126638865971806209"
"microsoft","neutral","126702051001516032"
"microsoft","neutral","126562457375350785"
"microsoft","neutral","126805239209803777"
"microsoft","neutral","126494059987603456"
"microsoft","neutral","126542911654477824"
"microsoft","neutral","126714453105446912"
"microsoft","neutral","126632280985845760"
"microsoft","neutral","126752262281371649"
"microsoft","neutral","126707946955616256"
"microsoft","neutral","126722549584379905"
"microsoft","neutral","126588693577338881"
"microsoft","neutral","126789040015020033"
"microsoft","neutral","126752712300826624"
"microsoft","neutral","126786825913245698"
"microsoft","neutral","126658871363239936"
"microsoft","neutral","126564004612161536"
"microsoft","neutral","126534195777519616"
"microsoft","neutral","126631805288849408"
"microsoft","positive","126721324042305536"
"microsoft","positive","126668529046007808"
"microsoft","positive","126743288320491521"
"microsoft","positive","126736431929507840"
"microsoft","positive","126555956975910912"
"microsoft","positive","126730153454870529"
"microsoft","positive","126709513947594753"
"microsoft","positive","126748155021762561"
"twitter","irrelevant","126862719927332864"
"twitter","irrelevant","126865410598502400"
"twitter","irrelevant","126866027316383744"
"twitter","irrelevant","126867955844788225"
"twitter","irrelevant","126861100120686592"
"twitter","irrelevant","126861380992241664"
"twitter","irrelevant","126876547025084416"
"twitter","irrelevant","126875401887821825"
"twitter","irrelevant","126880901903826945"
"twitter","irrelevant","126865296463118337"
"twitter","irrelevant","126866905096130560"
"twitter","irrelevant","126874226450903041"
"twitter","irrelevant","126878766675918848"
"twitter","irrelevant","126863189844566016"
"twitter","irrelevant","126876452326080512"
"twitter","irrelevant","126872218025213952"
"twitter","irrelevant","126869308029669376"
"twitter","irrelevant","126862852681240576"
"twitter","irrelevant","126874366775525377"
"twitter","irrelevant","126862721793789953"
"twitter","irrelevant","126879567385337856"
"twitter","irrelevant","126881227729928193"
"twitter","irrelevant","126864441999507456"
"twitter","irrelevant","126866948909842432"
"twitter","irrelevant","126859627051757568"
"twitter","irrelevant","126856764242137088"
"twitter","irrelevant","126879164258201601"
"twitter","irrelevant","126863722412118017"
"twitter","irrelevant","126861480128819201"
"twitter","irrelevant","126857511230902272"
"twitter","irrelevant","126881828337483776"
"twitter","irrelevant","126869231693348865"
"twitter","irrelevant","126880098401001473"
"twitter","irrelevant","126872084679892993"
"twitter","irrelevant","126872143593095168"
"twitter","irrelevant","126876728206438400"
"twitter","irrelevant","126868586882007041"
"twitter","irrelevant","126866058337460224"
"twitter","irrelevant","126864201804300289"
"twitter","irrelevant","126878461464821760"
"twitter","irrelevant","126857746200014849"
"twitter","irrelevant","126867858461433857"
"twitter","irrelevant","126869021969756161"
"twitter","irrelevant","126883741481177088"
"twitter","irrelevant","126879341559824384"
"twitter","irrelevant","126875239438229504"
"twitter","irrelevant","126864692470751232"
"twitter","irrelevant","126861782378745856"
"twitter","negative","126880978185625600"
"twitter","negative","126861228797722624"
"twitter","negative","126876682207502336"
"twitter","negative","126875653210521600"
"twitter","neutral","126865691923062784"
"twitter","neutral","126877666040225792"
"twitter","neutral","126866177778655233"
"twitter","neutral","126871924059013120"
"twitter","neutral","126863275450310656"
"twitter","neutral","126861011813810176"
"twitter","neutral","126872267257950209"
"twitter","neutral","126862897639993344"
"twitter","neutral","126875787818319872"
"twitter","neutral","126866861521502208"
"twitter","neutral","126880108718989313"
"twitter","neutral","126863410750160896"
"twitter","neutral","126875734005399552"
"twitter","neutral","126863942634057728"
"twitter","neutral","126860597013917697"
"twitter","neutral","126867164253798400"
"twitter","neutral","126870454299398144"
"twitter","neutral","126874847614734336"
"twitter","neutral","126864244716208129"
"twitter","neutral","126875274901065728"
"twitter","neutral","126880672190185472"
"twitter","neutral","126866187790450688"
"twitter","neutral","126859856782163968"
"twitter","neutral","126872777130123264"
"twitter","neutral","126861879598530561"
"twitter","neutral","126879106347433984"
"twitter","neutral","126860802392195072"
"twitter","neutral","126873420192423936"
"twitter","neutral","126864007784185856"
"twitter","neutral","126874568655777793"
"twitter","neutral","126859053757501440"
"twitter","neutral","126872528235921409"
"twitter","neutral","126883711131201536"
"twitter","neutral","126860932881186817"
"twitter","neutral","126868533991849988"
"twitter","neutral","126865837800951808"
"twitter","neutral","126873866575425536"
"twitter","neutral","126868751533617152"
"twitter","neutral","126870356563722240"
"twitter","neutral","126873323014590464"
"twitter","neutral","126875958929145856"
"twitter","neutral","126865215915687936"
"twitter","neutral","126863190691811328"
"twitter","neutral","126883719368818688"
"twitter","neutral","126863921465393152"
"twitter","neutral","126869751476654080"
"twitter","neutral","126876467631104000"
"twitter","neutral","126865511878361090"
"twitter","neutral","126857044677505024"
"twitter","positive","126860415085973504"
"twitter","positive","126864056366804992"
"twitter","positive","126883290782244864"
"twitter","positive","126873128348561409"
